Nom productor,Núm. acreditació,Persona jurídica,Persona física,NIF,Adreça,Codi postal,Municipi,Comarca,Productes,Grups Productes,Venda directa,Venda circuit curt,Telèfon,Correu electrònic,Marca Comercial
"CAMATS COMA, FRANCESC",VP/P/1442/2014,,X,,,25600,BALAGUER,LA NOGUERA,"Carn, embotits i derivats carnis de boví, BLAT DE MORO, ORDI, OLIVES, AMETLLES, PRESSECS, ALBERCOCS, PERES, POMES, CIRERES, NOUS","CEREALS D'ESTIU, CEREALS, FRUITA DOLÇA, FRUITS DE CLOSCA, OLIVERAR",,Venda circuit curt,,,BIODRISSA
"CAMI GORRIZ, SERGI",VP/P/1732/2014,,X,,,8840,VILADECANS,BAIX LLOBREGAT,"PATATA, PEBROT, CEBA, CALÇOT, PORRO I ALL, Carxofa, CARABASSA, TOMÀQUET",HORTÍCOLES,Venda directa,,,,
"CAMPILLO ROBLES, ENRIC",VP/P/0961/2013,,X,,,8619,CAPOLAT,BERGUEDÀ,"PATATA, PERES, POMES, ENCIAMS, CODONY, PÈSOLS","FRUITA DOLÇA, HORTÍCOLES, PROTEAGINOSES",Venda directa,Venda circuit curt,,,
"CAMPINS MARTINEZ, JOSE",VP/P/1698/2014,,X,,,8339,BADIA DEL VALLÈS,MARESME,Mel,,Venda directa,Venda circuit curt,,,
"CAMPOS SARROCA, EUGENIO",VP/P/1655/2014,,X,,,8640,OLESA DE MONTSERRAT,BAIX LLOBREGAT,"Olis, OLIVES, PERES, CIRERES, PRUNES, BLEDA, TOMÀQUET, FAVES I FAVONS","FRUITA DOLÇA, HORTÍCOLES, OLIVERAR, PROTEAGINOSES",Venda directa,Venda circuit curt,,,
"CAMPRECIOS SALAS, GUILLEM",VP/P/2080/2016,,X,,,25722,CAVA,ALT URGELL,"Carn, embotits i derivats carnis de pollastres/gallina",,Venda directa,,,,
"CAMPRUBI SANTOS, ANTON",VP/P/2268/2016,,X,,,17831,SANT MIQUEL DE CAMPMAJOR,PLA DE L'ESTANY,Mel,NO ADMISSIBLES,Venda directa,,,,DELTAFRUIT
"CAMPS ALER, XAVIER",VP/P/3113/2019,,X,,,25690,VILANOVA DE LA BARCA,SEGRIÀ,"OLIVES, PERES, POMES, ENCIAMS, CEBA, CALÇOT, PORRO I ALL, ALBERGÍNIA, PASTANAGA, TOMÀQUET","FRUITA DOLÇA, HORTÍCOLES, OLEAGINOSES, OLIVERAR",,Venda circuit curt,,,HORT BORDAS
"CAMPS FERNANDEZ, SARA",VP/P/0862/2013,,X,,,17486,CASTELLÓ D'EMPÚRIES,ALT EMPORDÀ,"ALTRES FRUITES, CEBA, CALÇOT, PORRO I ALL, CARBASSÓ, Carxofa, COGOMBRE, CARABASSA, TOMÀQUET","FRUITA DOLÇA, HORTÍCOLES",Venda directa,,,,
"CAMPS ROVIROSA, JOSEP",VP/P/0321/2013,,X,,,8818,OLIVELLA,GARRAF,"OLIVES, RAÏM, CARBASSÓ","HORTÍCOLES, NO ADMISSIBLES, OLIVERAR, VINYA",Venda directa,,,,RUBIROLA
"CAMPS, SCP",VP/P/0048/2013,X,,J25300880,"CARRE BALMES, 6",25243,PALAU D'ANGLESOLA,PLA D'URGELL,"Formatges i altres derivats lactis de llet de cabra, PERERES",FRUITA DOLÇA,Venda directa,Venda circuit curt,973602313,formatgescamps@gmail.com,
"CAN BALLERA, SCP",VP/P/0587/2013,X,,J17884750,Lloc CAN BALLERA NOVA 47,17455,SANT ANDREU SALOU,GIRONÈS,"Carn, embotits i derivats carnis de xai, Carn, embotits i derivats carnis de boví, ORDI, CIVADA, RAÏM, HORTA","CEREALS, HORTÍCOLES, NO ADMISSIBLES, VINYA",Venda directa,,616057414,administracio@canballera.cat,
CAN BANASTA SCP,VP/P/2251/2016,X,,J55231880,C/ MAJOR 2,17730,LLERS,ALT EMPORDÀ,"OLIVES, AMETLLES, CIRERES, CARXOFA, FIGUES","FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, NO ADMISSIBLES, OLIVERAR",Venda directa,,670277680,jjuanestrach@gmail.com,
"CAN BLEDA, SCP",VP/P/3295/2019,X,,J63518609,Veinat de Mata 75,8304,MATARÓ,MARESME,"CEBA, CALÇOT, PORRO I ALL, API, BLEDA, ESPINAC, JULIVERT","ALTRES PRODUCTES, HORTÍCOLES",Venda directa,Venda circuit curt,937961349,canbleda1@gmail.com,PROSMOKIWI
"CAN BROS, SCP",VP/P/0054/2013,X,,J65691081,C Tremp 14,8210,BARBERÀ DEL VALLÈS,VALLÈS OCCIDENTAL,"BLAT TOU, ORDI, OLIVES, HORTA","CEREALS, HORTÍCOLES, OLIVERAR",Venda directa,Venda circuit curt,637056426,hortacanbro@gmail.com,
"CAN BURBO, SA",VP/P/1374/2014,X,,A58447905,C Córcega 381-387,8037,BARCELONA,BARCELONÈS,"OLIVES, KIWI","FRUITA DOLÇA, OLIVERAR",Venda directa,,639368767,mtrieramarsa@coemba.com,
"CAN FELIU, CB",VP/P/2897/2018,X,,E17869488,Av Girona 2,17800,OLOT,GARROTXA,"Conserves vegetals, sucs, melmelades, fruits secs torrats, AVELLANES",FRUITS DE CLOSCA,,Venda circuit curt,609607913,cristina.feliu@bassolsenergia.com,VINYES SINGULARS
"CAN FLORA, SL",VP/P/1927/2015,X,,B12557625,C/ SOLADES,12540,VILLARREAL/VILA-REAL,,"ORDI, TRITICALE, OLIVES, GARROFES, MANDARINES","CEREALS, CÍTRICS, FRUITS DE CLOSCA, OLIVERAR",,Venda circuit curt,681100705,bgrau@citricsterresdelebre.com,
"CAN FONT DE MUNTANYA, SC",VP/P/2566/2017,X,,J55195259,"C/ MASIA CAN FONT DE MUNTANYA, S/N",17116,"CRUÏLLES, MONELLS I SANT SADURNÍ DE L'HE",BAIX EMPORDÀ,"CARBASSÓ, HORTA",HORTÍCOLES,Venda directa,Venda circuit curt,617346066,mpiferrer@corredormato.com,
CAN FURROY SC,VP/P/0608/2013,X,,J55167753,Lloc MASIA CAN FURROY,17150,SANT GREGORI,GIRONÈS,"HORTA, FIGUES","FRUITA DOLÇA, HORTÍCOLES",Venda directa,,639890866,charlie2479@hotmail.com,
CAN GEL SCP,VP/P/2220/2016,X,,J60731924,C/ Veïnat Rimbles 1,8318,DOSRIUS,MARESME,"Llet de vaca, Formatges i altres derivats lactis de llet de vaca, MILL, OLIVES","CEREALS D'ESTIU, CEREALS, OLIVERAR",Venda directa,Venda circuit curt,617314135,joangelarno@gmail.com,
"CAN GUAL, SCP",VP/P/0097/2013,X,,J61856373,Finca CAN GUAL,8480,AMETLLA DEL VALLÈS,VALLÈS ORIENTAL,"Ous de gallina, OLIVES, ENCIAMS, CARBASSÓ, COGOMBRE, CARABASSA, HORTA, TOMÀQUET, AVELLANES, PÈSOLS","FRUITS DE CLOSCA, HORTÍCOLES, OLIVERAR, PROTEAGINOSES",Venda directa,,938430310,info@cangual.net,DPAGÈS
CAN JUANALS SC,VP/P/0589/2013,X,,J17936873,Praje PARATGE DEL REMEI 0,17249,CASTELL-PLATJA D'ARO,BAIX EMPORDÀ,"Conserves vegetals, sucs, melmelades, fruits secs torrats, CIVADA, PATATA, OLIVES, HORTA, PÈSOLS","CEREALS, HORTÍCOLES, OLIVERAR, PROTEAGINOSES",Venda directa,Venda circuit curt,686586416,leseroles@leseroles.com,
CAN MABRES RAMADERS SL,VP/P/2229/2016,X,,B66352006,Lloc CAN MABRES,8719,CASTELLOLÍ,ANOIA,"Carn, embotits i derivats carnis de boví, ORDI, CIVADA, OLIVES","CEREALS, OLIVERAR",Venda directa,Venda circuit curt,690608194,jfarre@me.com,GIBILLI FRUITS
"CAN MABRES, SCCL",VP/P/0574/2013,X,,F61361853,Lloc CAN MABRES,8719,CASTELLOLÍ,ANOIA,"Carn, embotits i derivats carnis de boví, CIVADA, Olives","ALTRES USOS, CEREALS, OLIVERAR",Venda directa,Venda circuit curt,690608194,jfarre@me.com,
"CAN MALLOQUÍ, SCP",VP/P/1982/2016,X,,J65959538,C/ Francesc Salvans 3,8225,TERRASSA,VALLÈS OCCIDENTAL,"Farines, ESPELTA, Fajol, Cigrons, LLENTIA","CEREALS, LLEGUMINOSES",Venda directa,,650079618,info@canmalloqui.com,
"CAN MIMO, PASTORS I PRODUCTORS ARTESANS, S.L",VP/P/3236/2019,X,,B67209445,Lloc DISSEMINAT MAS MIMO 1,8299,VACARISSES,VALLÈS OCCIDENTAL,"Formatges i altres derivats lactis de llet de cabra, Carn, embotits i derivats carnis de cabrum, BLAT TOU, ESPECIES AROMÀTIQUES HERBÀCIES, CEBA, CALÇOT, PORRO I ALL, Carxofa, FAVES I FAVONS","ALTRES PRODUCTES, CEREALS D'ESTIU, CEREALS, HORTÍCOLES, PROTEAGINOSES",Venda directa,Venda circuit curt,692139409,canmimoartesans@gmail.com,GIROLA
CAN MUNNAR CB,VP/P/1627/2014,X,,E17448556,"CARRE COMERÇ, 55",17144,VILOPRIU,BAIX EMPORDÀ,"Carn, embotits i derivats carnis d'ànec",,Venda directa,Venda circuit curt,972768240,muntsa@solespages.com,GIRONA FRUITS
CAN PERDIU SL,VP/P/2496/2017,X,,B60664166,Finca CAN PERDIU C/ BARCELONAN KM 24,8430,ROCA DEL VALLÈS,VALLÈS ORIENTAL,"BLAT TOU, ORDI, CIVADA, MONGETA","CEREALS, LLEGUMINOSES, NO ADMISSIBLES, OLEAGINOSES",Venda directa,Venda circuit curt,620275006,consol.58@hotmail.com,CAL TOMAS
"CAN PICOLA, CB",VP/P/0425/2013,X,,E55034649,Finca MAS PICOLA,17861,OGASSA,RIPOLLÈS,"Carn, embotits i derivats carnis de cabrum, Carn, embotits i derivats carnis de xai",,,Venda circuit curt,618427090,martivila@live.com,
"CAN PINOS VELL, SCP",VP/P/3097/2019,X,,J63171839,Finca Can Pinos Vell 0,8459,SANT ANTONI DE VILAMAJOR,VALLÈS ORIENTAL,"Carn, embotits i derivats carnis de boví, BLAT TOU, BLAT DE MORO, ORDI, CIVADA, ENCIAMS, TOMÀQUET","CEREALS D'ESTIU, CEREALS, HORTÍCOLES",Venda directa,Venda circuit curt,938450044,jordi.pinos@gmail.com,GRANJA AVÍCOLA COLL
"CAN TABAQUET, SCP",VP/P/0486/2013,X,,J62729231,Finca Can Tabaquet 0,8185,LLIÇÀ DE VALL,VALLÈS ORIENTAL,"CIVADA, CEBA, CALÇOT, PORRO I ALL, Carxofa, CARABASSA, TOMÀQUET, CIGRONS , FAVES I FAVONS","CEREALS, HORTÍCOLES, LLEGUMINOSES, PROTEAGINOSES",Venda directa,Venda circuit curt,627559981,cantabaquet@gmail.com,
CAN TEIXIDOR CULTIUS ECOLOGICS SCP,VP/P/0630/2013,X,,J65940546,"CAL TEIXIDOR, 0",8460,SANTA MARIA DE PALAUTORDERA,VALLÈS ORIENTAL,"Ous de gallina, OLIVERES, ALTRES FRUITERS DE LLAVOR","FRUITA DOLÇA, OLIVERAR",Venda directa,Venda circuit curt,616469647,joan.planas@telefonica.net,GRANJA CAL PUNXA
CAN ZISTU SCP,VP/P/2433/2016,X,,J66339128,C RIERETA 32,8001,BARCELONA,BARCELONÈS,"Olis, OLIVES",OLIVERAR,Venda directa,Venda circuit curt,606379775,imanolman@hotmail.com,
"CANADELL PARERA, ORIOL",VP/P/1350/2014,,X,,,8186,LLIÇÀ D'AMUNT,VALLÈS ORIENTAL,"ORDI, PATATA, ENCIAM, CEBES, CALÇOTS, PORROS I ALLS, CARBASSÓ, COGOMBRE, CARABASSA, TOMÀQUET","CEREALS, HORTÍCOLES, NO ADMISSIBLES",Venda directa,Venda circuit curt,,,
"CANADELL PUNSET, MARTÍN MIGUEL",VP/P/2873/2018,,X,,,17857,SANT JOAN LES FONTS,GARROTXA,"Carn, embotits i derivats carnis de xai, Carn, embotits i derivats carnis de boví, BLAT TOU, BLAT DE MORO, ORDI, MILL, HORTA","CEREALS D'ESTIU, CEREALS, HORTÍCOLES, NO ADMISSIBLES",,Venda circuit curt,,,CARNS ASTURGO
"CANAL SELMA, JOAQUIM",VP/P/3337/2019,,X,,,17862,VALLFOGONA DE RIPOLLÈS,RIPOLLÈS,Formatges i altres derivats lactis de llet d'ovella,NO ADMISSIBLES,Venda directa,,,,
"CANALETA CAMPS, SALVADOR",VP/P/0264/2013,,X,,,17451,SANT FELIU DE BUIXALLEU,LA SELVA,"Carn, embotits i derivats carnis de xai",NO ADMISSIBLES,Venda directa,Venda circuit curt,,,
"CANALS PUJOL, JOSEP",VP/P/1503/2014,,X,,,8750,MOLINS DE REI,BAIX LLOBREGAT,"OLIVES, RAÏM, PRESSECS, CIRERES, ENCIAM","FRUITA DOLÇA, HORTÍCOLES, NO ADMISSIBLES, OLIVERAR, VINYA",Venda directa,,,,MASIA ESCRIGAS
"CANALS SORIA, FRANCISCO JAVIER",VP/P/2730/2017,,X,,,8029,BARCELONA,BARCELONÈS,PRODUCTES D'HORTA,HORTÍCOLES,Venda directa,,,,
"CANELA VILALTA, JOSEP MARIA",VP/P/1199/2013,,X,,,25300,TÀRREGA,URGELL,"Mel, BLAT DE MORO, ORDI, AMETLLES","CEREALS D'ESTIU, CEREALS, FRUITS DE CLOSCA",Venda directa,Venda circuit curt,,,CAN BADAL
"CAÑELLAS CASTERA, LLUIS",VP/P/2238/2016,,X,,,8340,VILASSAR DE MAR,MARESME,HORTA,HORTÍCOLES,Venda directa,Venda circuit curt,,,EMBOTITS GRANJA GODALL
"CAÑELLAS MULTISERVEIS, SL",VP/P/1648/2014,X,,B43613637,"C MAJOR, 9",43480,VILA-SECA,TARRAGONÈS,"OLIVERES, ALTRES FRUITERS DE LLAVOR","FRUITA DOLÇA, OLIVERAR",Venda directa,,977390758,smgrup@interbook.net,
"CAÑELLAS ROCA, JORDI",VP/P/1946/2015,,X,,,8340,VILASSAR DE MAR,MARESME,PRODUCTES D'HORTA,HORTÍCOLES,Venda directa,,,,
"CANELLES FERNANDEZ, AGUSTIN",VP/P/1506/2014,,X,,,25195,LLEIDA,SEGRIÀ,"PERES, POMES, KIWI, MAGRANES",FRUITA DOLÇA,Venda directa,,,,GRANJA LUISIANA
"CANER MARTINEZ, ENRIC",VP/P/3395/2020,,X,,,17123,TORRENT,BAIX EMPORDÀ,Mel,,Venda directa,,,,
"CANTERO ANTON, ALFONS",VP/P/2029/2016,,X,,,8003,BARCELONA,BARCELONÈS,"Olis, Olives, AMETLLA","ALTRES FRUITS SECS, ALTRES USOS, OLIVERAR",Venda directa,Venda circuit curt,,,
"CANTI MARRUGAT, SALVADOR",VP/P/0058/2013,,X,,,8784,PIERA,ANOIA,"OLIVES, RAÏM VI, PRESSECS","FRUITA DOLÇA, OLIVERAR, VINYA",Venda directa,,,,
"CAP D'ESTOPA, SL",VP/P/1423/2014,X,,B62213152,Aptes de Correus 282,8820,PRAT DE LLOBREGAT,BAIX LLOBREGAT,CARXOFA,"HORTÍCOLES, NO ADMISSIBLES",Venda directa,Venda circuit curt,686979750,jcanillo@grupoaltex.com,
"CAPAFONS OSSO, FRANCESC XAVIER",VP/P/0150/2013,,X,,,43730,FALSET,PRIORAT,"Vins, caves i vinagres, Olis, OLIVES, RAÏM VI","OLIVERAR, VINYA",,Venda circuit curt,,,GRANJA TORRA D'EN ROCA
"CAPDEVILA CASAS, LUIS",VP/P/3318/2019,,X,,,8231,ULLASTRELL,VALLÈS OCCIDENTAL,Carxofa,HORTÍCOLES,Venda directa,Venda circuit curt,,,GRANJA VIDAL
"CAPDEVILA CIRERA, EUDALD",VP/P/0693/2013,,X,,,8540,CENTELLES,OSONA,"Carn, embotits i derivats carnis de xai, Carn, embotits i derivats carnis de cabrum, ALTRES FRUITERS DE LLAVOR",FRUITA DOLÇA,,Venda circuit curt,,,
"CAPDEVILA COSTA, JOSEP",VP/P/0319/2013,,X,,,8560,MANLLEU,OSONA,"Carn, embotits i derivats carnis de boví, BLAT TOU, ORDI",CEREALS,Venda directa,,,,
"CAPDEVILA QUEROL, MARIA PILAR",VP/P/0332/2013,,X,,,25289,CASTELLAR DE LA RIBERA,SOLSONÈS,"Carn, embotits i derivats carnis de xai, BLAT TOU, ORDI, CIVADA, OLIVES, RAÏM","CEREALS, NO ADMISSIBLES, OLIVERAR, VINYA",,Venda circuit curt,,,
"CAPDEVILA ROVIRA, JOSEP LLUIS",VP/P/1031/2013,,X,,,8757,CORBERA DE LLOBREGAT,BAIX LLOBREGAT,"Olis, OLIVES",OLIVERAR,Venda directa,,,,GROOTS
"CAPDEVILA, SAT 1319 CAT",VP/AP/0159/2019,X,,F43428465,"Ctra Cambrils, Districte II",43204,REUS,BAIX CAMP,"Carxofa, CEBA, CALÇOT, PORRO I ALL, TOMÀQUET",HORTÍCOLES,Venda directa,Venda circuit curt,977751323,mingo1170@hotmail.com,GRUP FRUITER - L´EVOLUCIÓ
"CAPELL GOMEZ, JORDI",VP/P/2490/2016,,X,,,25182,AITONA,SEGRIÀ,"Mel, OLIVES, AMETLLES, PRESSECS, ALBERCOCS","FRUITA DOLÇA, FRUITS DE CLOSCA, OLIVERAR",Venda directa,Venda circuit curt,,,GRUP HORT DEL CENTRE / LOLA Y MAS
"CAPRI STAR, SL",VP/P/3355/2019,X,,B55322366,C AMPLE 11,17100,BISBAL D'EMPORDÀ,BAIX EMPORDÀ,"Formatges i altres derivats lactis de llet de cabra, ORDI, CIVADA",CEREALS,Venda directa,,675566608,capristar2018@gmail.com,ECOVERD
"CARAVACA GARCIA, JESUS",VP/P/0694/2013,,X,,,25588,GUINGUETA D'ÀNEU,PALLARS SOBIRÀ,Formatges i altres derivats lactis de llet de cabra,,Venda directa,,,,
"CARBO CRUSET, MONTSERRAT",VP/P/2192/2016,,X,,,8732,CASTELLVÍ DE LA MARCA,ALT PENEDÈS,"CEBA, CALÇOT, PORRO I ALL",HORTÍCOLES,Venda directa,,,,CAL FIGUERAS DE MANLLEU
"CARBO QUESADA, FRANCISCO JAVIER",VP/P/2021/2016,,X,,,8389,PALAFOLLS,MARESME,"PATATA, CEBA, CALÇOT, PORRO I ALL, TOMÀQUET, FAVES I FAVONS","HORTÍCOLES, PROTEAGINOSES",Venda directa,Venda circuit curt,,,
"CARBONELL VILA, PERE",VP/P/0967/2013,,X,,,17861,OGASSA,RIPOLLÈS,"Carn, embotits i derivats carnis de boví",CEREALS D'ESTIU,,Venda circuit curt,,,CAN JORNET
"CARDEÑES CUCURULLS, JORDI",VP/P/2754/2017,,X,,,25737,CUBELLS,LA NOGUERA,"Carn, embotits i derivats carnis de boví",,,Venda circuit curt,,,HORT DE GAVÀ
"CARDEÑES CUCURULLS, MERCE",VP/P/2605/2017,,X,,,25737,CUBELLS,LA NOGUERA,"Carn, embotits i derivats carnis de boví",,,Venda circuit curt,,,
"CARDIEL MASIP, ROSA MARIA",VP/P/1201/2013,,X,,,25163,SOLERÀS,LES GARRIGUES,"Olis, OLIVERES",OLIVERAR,Venda directa,Venda circuit curt,,,HORT DE ANMARTI
"CARDONA GARCÍA, MIREIA",VP/P/1620/2014,,X,,,8291,MOIÀ,VALLÈS OCCIDENTAL,ALTRES FRUITERS DE LLAVOR,FRUITA DOLÇA,Venda directa,Venda circuit curt,,,HORT DEL SILENCI
"CARDONA GIRALT, JESUS",VP/P/1970/2015,,X,,,8240,MANRESA,BAGES,"Carn, embotits i derivats carnis de pollastres/gallina, BLAT TOU, ORDI, OLIVES, HORTA","CEREALS, HORTÍCOLES, OLIVERAR",Venda directa,,,,HORTA CAL ELIES
"CARDONA MATEU, MONTSERRAT",VP/P/3203/2019,,X,,,25286,OLIUS,SOLSONÈS,"Ous de gallina, BLAT TOU, ORDI",CEREALS,Venda directa,,,,
CARITAS DIOCESANA DE VIS - ARXIPRESTAL DE MANRESA,VP/P/3294/2019,X,,R0800521G,C/ BAIXADA DE LA SEU 3,8240,MANRESA,BAGES,"Plantes aromàtiques, espècies i infusions, ESPECIES AROMÀTIQUES HERBÀCIES, ENCIAMS, CEBA, CALÇOT, PORRO I ALL, TOMÀQUET","ALTRES PRODUCTES, HORTÍCOLES",Venda directa,Venda circuit curt,938721542,caritasmanresa@caritasmanresa.cat,HORTA DE CAL VIU
"CARMONA BARDELLA, EVA",VP/P/2358/2016,,X,,,25620,TREMP,PALLARS JUSSÀ,"Vins, caves i vinagres, ORDI, OLIVES, RAÏM VI, AMETLLES","CEREALS, FRUITS DE CLOSCA, OLEAGINOSES, OLIVERAR, VINYA",Venda directa,Venda circuit curt,,,
"CARMONA JOVE, EVA",VP/P/2221/2016,,X,,,8503,GURB,OSONA,"PATATA, ENCIAMS, CEBA, CALÇOT, PORRO I ALL, COL I COLIFLOR, CARBASSÓ, COGOMBRE, BLEDA, PASTANAGA, ESPINAC, CARABASSA, TOMÀQUET","CEREALS D'ESTIU, HORTÍCOLES, LLEGUMINOSES",Venda directa,,,,DEL PAGES A CASA
"CARNICAS DE CERDANYA, SL",VP/P/0515/2013,X,,B17247172,Avda AVDA. PIRINEUS,17520,PUIGCERDÀ,CERDANYA,"Carn, embotits i derivats carnis de boví, SÈGOL",CEREALS,,Venda circuit curt,639719522,pepaltimiras@hotmail.com,HORTA DE CAPOLAT
CARNIQUES SANCHO SL,VP/P/3305/2019,X,,B55730758,C/ Sant Gregori 30,43520,ROQUETES,BAIX EBRE,"Carn, embotits i derivats carnis de cabrum, Carn, embotits i derivats carnis de xai, OLIVES, GARROFES","FRUITS DE CLOSCA, OLIVERAR",Venda directa,,661216929,carnissers@hotmail.com,
CARNS DE CONFIANÇA SL,VP/P/0527/2013,X,,B17936725,Carre Diagonal 9,17530,CAMPDEVÀNOL,RIPOLLÈS,"Carn, embotits i derivats carnis de boví",,Venda directa,,667547724,info@pirinat.cat,
"CARNS DEL PERELLO, S.L.",VP/P/3224/2019,X,,B55525901,C LLUIS COMPANYS 4,43519,PERELLÓ,BAIX EBRE,"Llet de cabra, Olis, Mel, OLIVES, AMETLLES, GARROFES","FRUITS DE CLOSCA, OLIVERAR",Venda directa,Venda circuit curt,977490362,carnsdelperello@gmail.com,HORTA OLLER SLU
"CARNS I EMBUTITS DE COLL-FRED, SL",VP/P/0010/2013,X,,B61244919,C/ Mas Collfred,8589,VIDRÀ,OSONA,"Carn, embotits i derivats carnis de xai, Carn, embotits i derivats carnis de boví",,Venda directa,Venda circuit curt,649449760,esteve@collfred.cat,HORTALISSES PASCUAL SCP
"CAROLA DIAZ-AGUADO, ANTONIO",VP/P/0686/2013,,X,,,17753,ESPOLLA,ALT EMPORDÀ,"Carn, embotits i derivats carnis de boví",,Venda directa,Venda circuit curt,,,HORTALISSES PI
"CAROLA DIAZ-AGUADO, MA. CONCEPCIÓN",VP/P/0691/2013,,X,,,8022,BARCELONA,BARCELONÈS,"Carn, embotits i derivats carnis de boví",,Venda directa,,,,HORTALISSES TUTOR
"CAROLA DIAZ-AGUADO, MARTA",VP/P/0669/2013,,X,,,17753,ESPOLLA,ALT EMPORDÀ,"Carn, embotits i derivats carnis de boví",,Venda directa,Venda circuit curt,,,
"CAROS MATEO, MATEO",VP/P/1845/2015,,X,,,8490,FOGARS DE LA SELVA,LA SELVA,"Carn, embotits i derivats carnis de boví, CIVADA, FAVES I FAVONS","CEREALS, PROTEAGINOSES",,Venda circuit curt,,,HORTGANIC
"CARRERAS CORTES, ELISEU",VP/P/1689/2014,,X,,,17457,CAMPLLONG,GIRONÈS,"ORDI, TOMÀQUET, FAVES I FAVONS","CEREALS, HORTÍCOLES, PROTEAGINOSES",Venda directa,,,,
"CARRERAS MASSO, RAIMUNDO",VP/P/1103/2013,,X,,,8880,CUBELLES,GARRAF,"OLIVES, RAÏM, PRESSECS, ALTRES FRUITES, ENCIAM, CEBES, CALÇOTS, PORROS I ALLS, CARXOFA, TOMÀQUET","FRUITA DOLÇA, HORTÍCOLES, NO ADMISSIBLES, OLIVERAR, VINYA",Venda directa,,,,
"CARRETERO ARIZA, ANGEL",VP/P/0041/2013,,X,,,43519,PERELLÓ,BAIX EBRE,"Olis, OLIVES, AMETLLES, HORTA","FRUITS DE CLOSCA, HORTÍCOLES, NO ADMISSIBLES, OLIVERAR",Venda directa,,,,"HORTICULTUTA NOE, SCP"
"CARRIET MORENO, CRISTOBAL",VP/P/3163/2019,,X,,,8140,CALDES DE MONTBUI,VALLÈS ORIENTAL,"Olis, PATATA, OLIVES, CIRERES","FRUITA DOLÇA, HORTÍCOLES, OLIVERAR",Venda directa,Venda circuit curt,,,
"CARRILLO CORTES, EVA",VP/P/3359/2019,,X,,,17868,MOLLÓ,RIPOLLÈS,"Carn, embotits i derivats carnis de boví, PATATA",HORTÍCOLES,Venda directa,Venda circuit curt,,,BIONOFRE
"CARULLA CABALLÉ, ANNA MARIA",VP/P/2399/2016,,X,,,43428,PILES,CONCA DE BARBERÀ,"Altres productes elaborats, BLAT TOU, ORDI, NOUS, TÒFONA","ALTRES PRODUCTES, CEREALS, FRUITS DE CLOSCA, OLEAGINOSES",Venda directa,,,,
CASA BARÓ SCP,VP/P/0205/2013,X,,J25706243,Carre Trestaull 5,25528,VALL DE BOÍ,ALTA RIBAGORÇA,"Carn, embotits i derivats carnis de boví",,,Venda circuit curt,630238326,info@hotelelrantiner.com,HORTPLANT
CASA BERTRAN SCP,VP/P/1589/2014,X,,J25743790,Plaça DE DALT,25594,RIALP,PALLARS SOBIRÀ,"Carn, embotits i derivats carnis de boví",,,Venda circuit curt,609714674,bertran-chavali@hotmail.com,
CASA BRINGUERO SCP,VP/P/2938/2018,X,,J25831710,Carre Trinquet 36,25552,VILALLER,ALTA RIBAGORÇA,"Carn, embotits i derivats carnis de boví, SÈGOL",CEREALS,Venda directa,Venda circuit curt,616239955,mjesuspallasvidal@gmail.com,
CASA COLL SCP,VP/P/0469/2013,X,,J25721788,Pg Sant Feliu 2,25527,VALL DE BOÍ,ALTA RIBAGORÇA,"Carn, embotits i derivats carnis de boví",,,Venda circuit curt,661534877,cavallstonya@hotmail.com,BELL VERD
"CASA CUIROLS, SL",VP/P/3231/2019,X,,B67218008,Casa Cuirols,8698,NOU DE BERGUEDÀ,BERGUEDÀ,Formatges i altres derivats lactis de llet de cabra,CEREALS D'ESTIU,Venda directa,Venda circuit curt,617438328,coquint@hotmail.com,
CASA JOANOT SCP,VP/P/1451/2014,X,,J25771916,Calle Única,25520,PONT DE SUERT,ALTA RIBAGORÇA,"Carn, embotits i derivats carnis de pollastres/gallina, Ous de gallina",,Venda directa,,649812363,casajoanot@esigual.com,
CASA MACIÀ SCP,VP/P/3368/2019,X,,J25825951,C/ CASA MACIA,25594,RIALP,PALLARS SOBIRÀ,"Llet de cabra, Carn, embotits i derivats carnis de cabrum",,Venda directa,,649722169,info@casamacia.com,INSTAGREEN SL
"CASA MASOVER, SCP",VP/P/0305/2013,X,,J25704206,C ÚNIC S/N,25555,SARROCA DE BELLERA,PALLARS JUSSÀ,"Carn, embotits i derivats carnis de boví, HORTA","HORTÍCOLES, NO ADMISSIBLES",Venda directa,,659602441,casamasover@hotmail.com,POTETS
CASA MATEU SCP,VP/P/0001/2013,X,,J25365651,Casa Mateu,25516,CONCA DE DALT,PALLARS JUSSÀ,"Carn, embotits i derivats carnis de cabrum, Carn, embotits i derivats carnis de xai, CIVADA, OLIVES","CEREALS, NO ADMISSIBLES, OLIVERAR",,Venda circuit curt,647745905,mateutoralla@hotmail.com,
"CASA VENDRELL, SLU",VP/P/3066/2018,X,,B58357195,C/ Església 198,8370,CALELLA,MARESME,HORTA,HORTÍCOLES,,Venda circuit curt,937692355,mariaturro@mercurygrup.com,
"CASACUBERTA MARTI, XAVIER",VP/P/2225/2016,,X,,,8755,CASTELLBISBAL,VALLÈS OCCIDENTAL,"PATATA, COL I COLIFLOR, CARBASSÓ, TOMÀQUET",HORTÍCOLES,Venda directa,Venda circuit curt,,,LA NEGRETA
