PROJECTE,URGENT,PRODUCTE(S),MUNICIPI,COM COMPRAR,OBSERVACIONS,CCPAE,COMARCA
Entre flors,,"Productes apícoles de collita pròpia: mels, pròpolis (tintura, ungüent, mel amb pròpolis) i pol-len fresc",Montferri,,entreflors.cat,,Alt Camp
Espirulina Natural,,Espirulina deshidratada en fideus Espirulina deshidratada en comprimits,Cardedeu,"Online, enviem a domicili https://espirulinanatural.com/productes/ Botigues",www.espirulinanatural.com,,Vallès Oriental
finca la despeinada,,"vi natural (sense additius, sense sulfits afegits)",Gandesa,,,,Terra Alta
Flors del Brugent,Sí,"Mel de diferents varietats, pol·len fresc, tintura de pròpolis, bresca, avellanes crues amb closca i ametlles crues pelades",Mont-ral,"Instagram, per telefon, wattsap, recollida a concretar amb el client a Alcover.",@florsdelbrugent a Instagram,,Alt Camp
Formatgeria de Gavàs,Sí,Som una cooperativa de treball associat que oferim cabrit ecològic i formatges artesans de llet crua de cabra del nostre propi ramat i de pastura.,La Guingueta d'Àneu,"A part de la nostre botiga de Gavàs, ens trobaras a botigues de proximitat del Pallars. També fem servei a domicili gratuït al Pallars i amb despeses d'enviament a la resta.",http://formatgeriadegavas.cat,Sí,Pallars Sobirà
Formatgeria del Miracle,Sí,Formatges,Riner,Per telefon o mail,www.formatgeriaelmiracle.coop,,Solsonès
Formatgeria del Montseny,Sí,Formatges de llet crua i carn de cabrit,Montseny,"Us portem la vistra compra a casa, contactant per whatsap al XXXXXXXXX . Us atendrà la Silvia",www.formatgeriadelmontseny.com,,Vallès Oriental
Formatgeria Taüll - Ruben Farelo i Navarro,,"Formatge Ecològic de Cabra, ramat propi de pastura. Cinc tipus de formatge: Truc, pasta tova de quallada acido-làctica Craba, pasta tova de pell rentada Panical Blau, blau de 2 a 10 mesos Serrat, curat de 4 mesos a 2 anys C10, pasta cuita de 8 mesos a 2 anys.","Taüll, Vall de Boí",,"Explotació ramadera de 160 cabres de llet, per produir un excel.lent formatge de cabra ecològic (certificat pel CCPAE) amb un volum de producció de 8.000 Kg/any. Cinc tipus de formatge: Truc, pasta tova de quallada acido-làctica. Craba, pasta tova de pell rentada. Panical Blau, blau de 2 a 10 mesos. Serrat, curat de 4 mesos a 2 anys. C10, pasta cuita de 8 mesos a 2 anys. www.petitsauc.com",,Alta Ribagorça
Formatgeria Tiraval,Sí,"Elaborem formatges de Cabra, Vaca i Ovella",Bagà,"Els nostres formatges es poden seguir trobant a petites botigues locals i també hi ha la possibilitat de que t'ho portem a casa. Comandes al XXXXXXXXX , a xxxx@xxxxx.cat. Repartim divendres",www.formatgeriatiraval.cat,,Berguedà
Formatges artesans de la Vall del Brugent,Sí,"Cabrit 18€/kg tallat Formatge fresc, peces de 500g/7€ Mató, 13,50€/kg (1 setmana de durada) Formatge curat, 500g/11€ Tot sense conservants, sense químics.",Capafonts,"Trucar per encarregar i es reparteix a domicili un cop per setmana per muntanyes de Prades: Cornudella, Falset, Montblanc.. Ideal cooperatives de consum si poden fer comandes agrupades",Sortim a pasturar cada dia i respectem el cicle del ramat,,Baix Camp
Formatges del Pujol Orra,Sí,"Formatges tendres i madurats , mató i cremes de formatge. Tot ecològic amb certificació del CCPAE",Les Lloses,,"Petita explotació familiar i tradicional que treballem mantenint l'equilibri entre pastura, conreu i bosc com s'havia fet sempre. Tenim petit ramat de 25 vaques, les quals alimentem aprofitant els recursos de la propia finca. Formatgesdelpujolorra.com",Sí,Ripollès
Fruites i verdures del Mas Boixó,Sí,Tot tipus de fruites i verdures,Torroella de Montgrí,Fer comandes per whatsapp o Gmail,"La nostra producció no es ecològica sinó producció integrada, nom que molta gent no sap que vol dir, sempre s,'ha parlat del nom ecològic perquè està més de moda, però poques vegades es parla del que vol dir producció integrada",,Baix Empordà
Fruits del Gaià,,"Oli d'oliva, ametlles",Bràfim,,Possibilitat d'engegar algun cultiu herbaci (horta) si es detecta necessitat. Caldia saber-ho aviat per escurçar al màxim el temps d'entrada en producció.,,Alt Camp
Fruits del Secà,,"Cigrons, llenties, llenties vermelles, cereals i farines.",Sant Pere Sallavinera,www.fruitsdeseca.cat,"Punts de recollida : Punt d'Intercanvi i Mengem Bages (Manresa i comarca) ; el rusc que diu que sí (Aguilar de Segarra); botigues a granel Bcn: Vida Meva, Yes Future. Comandes amb mínim 4 dies d'antelació es poden recollir a casa o les podem servir a Manresa.",,Anoia
Fungi Girona,,"Bolets: xiitake, gírgola, xampinyó ros Extractes de bolets medicinals: reishi (bolet de pipa) // reishi-xiitake-maitake",Sant Joan les Fonts,"Mercat setmanal a Olot, els dilluns al matí. Distribuïm a Olot i rodalies; també a poblacions d'Osona a prop de la carretera C-17, de Torelló fins a Vic. Fem repartiment els dilluns i dijous al matí.",Contacteu a través de telèfon o correu-e per trobar la millor manera de fer-vos arribar els nostres aliments. www.fungigirona.cat,,Garrotxa
Garrofina - Cultius Gaia,,Tauletes i cremes de garrofa Melassa de garrofa Farina de garrofa Ametlles i avellanes pelades crues o torrades Suc de raïm blanc sense filtrar,Aiguamúrcia,"Directe a nosaltres, punt de recollida Aiguamúrcia. Podem portar a casa. Podeu fer les comandes per Email o WhatsApp. Gràcies","No estem en urgencia perquè els nosaltres productes son de llarga durada però si ens han cancelat totes les fires de març i abril, per tan aquesta plataforma ens pot ajudar. Gràcies Www.garrofina.eu o www.cultiusgaia.eu",En conversió,Alt Camp
Germans Colls,,Xai ecològic,Pau (Alt Empordà),,,Sí,Alt Empordà
GraMa,,"Pa (de fajol, de nous, de sègol, de blat), Coca de forner, Magdalenes",Sant Antoni de Vilamajor,grama.vilamajor.net,Comandes a XXXXXXXXX i busquem el punt de recollida,,Vallès Oriental
Granja Bufulà,Sí,Pollastre ecològic certificat Xai lletó de pastura,Vallcebre,,,Sí,Berguedà
Granja can Borrell,Sí,Llet de cabra,Llabià,,Ofereixo 250 litres de llet crua diaris per una formatgeria que li pugui interessar. Gràcies,,Baix Empordà
Granja Can Torrent,,"Can de xai, iogurt llet d ovella, formatge d ovella i llet d ovella",Mieres,"Només a nivell comarcal ,Garrotxa i pla de l estany",,,Garrotxa
Granja Cervesera Lo Vilot,Sí,"Cerveses artesanes de proximitat, ecològiques, sense gluten",Almacelles,"t'ho enviem a casa o pots passar a recollir-ho per la fabrica (vivim allí) Comandes per whatsapp, telèfon, correu electrònic.",www.lovilotfarmbrewery.com,Sí,Segrià
Granja El Niu d'Ous,,Ous ecològics,Òrrius,,elnidous.cat,Sí,Maresme
Granja i formatgeria de Montmelús,,Carn de cabrit i formatges de cabra,Ger,Venda directa a la pròpia finca. Repartim a Barcelona i Cerdanya a partir d'abril.,,,Baixa Cerdanya
Granja i Formatgeria Veciana,,"Mató, iogurts, formatge fresc, formatge tou de llet crua, formatge semi madurat suau de llet pasteuritzada, formatge curat de dos mesos amb llet crua, formatge amb sis mesos de maduració i llet crua. Tot amb llet de cabra.",Veciana,"Venda directa i a domici, contactar per whats al XXXXXXXXX o al XXXXXXXXX .",,,Anoia
Granja Recasens,,Cabrit,l'Albiol,entrega a domicili. Les comandes es poden fer a través del telèfon (trucada o wasap) i pel correu electrònic,,,Baix Camp
Gratacool,,Superaliment ric en vitamina C procedent del fruit del roser silvestre,"Talló, Bellver de Cerdanya",per la web,www.gratacool.com,Sí,Cerdanya
"Greenhort, l'hortet de casa",,"Verdura de temporada (cols, coliflor, bròquil, ceba seca, ceba tendra, enciams, remolatxa, calçots, pastanaga, porro, patata, etc) Fruita d altres productores (taronja, poma, pera, llimona, etc)",Sant Martí Sarroca,"funcionem a través de comandes per whatsap on enviem el llistat del que tenim de forma setmanal i fem repartiment porta a porta. De dilluns a divendres vilafranca del penedès i els voltants. Dimecres Vilanova, Cunit, Cubelles, Vendrell. Dijous Sitges i Sant Pere de Ribes",,Sí,Alt Penedès
HeriCamps,Sí,"Oli d'oliva verge extra, Vinagre, Fruita Seca,Vi, Horta de temporada.",La Figuera,"Venda directa a la nostra zona, botigues a Tossa de Mar i possibilitat d'enviar comandes. Es poden fer les comandes via correu electrònic o WhatsApp i enviem a tot el territori català.","Som una empresa familiar agroecològica del Priorat. Venem a tot Catalunya, on podem i confien en un producte ecològic i sostenible. Al tancar bars i restaurants + la dificultat de distribució, estem notant com les vendes han quasi desaparegut, especialment d'oli i vi. Seguim al peu del canó i confinats tant com podem.",Sí,Priorat
Hort d'en Dídac,Sí,"Verdura, hortalissa i maduixes de conreu porpi al maresme i fruita d'hortec. Projecte enfocat a venda directa i menjadors escolars amb compromis social. Integrem persones amb diversitat funcional a la nostra plantilla. Producció ecològica certificada des del 2013. Agricultura del Maresme. Formem part de les 10 sòcies d'Ecomaresme SCCL.",Mataró,,Www.hortdendidac.com,Sí,Maresme
Hort de ca la Cistellera,,Fruites i verdures ecològiques,Juneda,,hortdecalacistellera.cat,Sí,Garrigues
Hort de Can Tabaquet,Sí,Col Broquil Coliflor Brocoli Enciam Bleda Espinac Pastanaga Ceba tendre Porro Faves Pesol Remolatxa Carxofa Carbassa Mongeta ganxet Carbasso Cogombre Montgeta tendre,Lliçà de Vall i Granollers,"Carrer perdellot Lliça de vall 08185 bcn Dimarts de 10 a 18 h Dissabte 9 a 13h Venda directe i recollida cistelles. Cistelles a domicili a granollers, la roca de valles, canovelles, lliça de vall, lliça d amunt, parets del valles, martorelles i sta maria martorelles.",Preferim contacte per telefon o watssap.,En conversió,Vallès Oriental
Horta 3sols,,Verdures i hortalisses CCPAE,Castellterçol,A domicili o recollida a la finca,,Sí,Moianès
Horta de la Viola,,Horta i fruita agroecològica. Flors bio de cultiu propi.,Palafrugell,Punts recollida: Dimarts tarda a l'Horta per precomanda. Dissabtes matí mercat de Palafrugell. Comandes via web (hortadelaviola.pagesosagroecologics.com) o via whats ap,Contactar abans via telèfon: Raimon (XXXXXXXXX ) Maren (XXXXXXXXX ) Hortadelaviola.org,,Baix Empordà
Horta de Palou,,"Enciam llarg, maravilla, roure vermell, roure verd, col, bròquil verd, brocoli, cols de brusel.les, alls tendres, Apit, remolatxa, Pastanaga lila, Nap lila, Nap negre, funoll, Col-i-rabe, faves, patata kenabec, ceba figueres,...",Forallac,Comandes per WhatsApp o instagram,"@hortadepalou Passem llista amb preus, comanda mínima de 15'",,Baix Empordà
Horta ecològica Pla de Munt,,"Verdures, fruita i altres",Palafolls,Venda directa,,Sí,Lluçanès
Horta la Sínia,,"Verdures, hortalisses i cítrics ecològics",Tortosa,"Cistelles a domicili, grups de consum, botigues i restauració de l'Àrea Metropolitana",,Sí,Baix Ebre
Horta Tarrés,,"Verdura pròpia de temporada, ous i mel eco, fruita de proximitat.",Vic,Repartim cistelles a domicili.,Contacta'ns! https://hortatarres.wordpress.com/,,Osona
Hortet del Bruc (Somalzines),,Fruita i verdura ecològica,El Bruc,"Es pot comprar a la pròpia finca els dijous de 17:00 a 19:30 i dissabtes de 10:30 a 13:30. Es poden fer comandes (repartim a la zona de Capellades, El Bruc, Collbató i Esparreguera, i tenim punt de recollida a Sant Esteve de Sesrovires i Olesa de Montserrat)",www.somalzines.com botiga.hortetdelbruc.com,,Anoia
Hòrtia,,Fruita i verdura,Bellpuig,"Punt de recollida i entrega a domicili els dimarts, dijous i dissabtes. Llista de productes i comandes per WhatsApp.",,Sí,Urgell
Identitat Extra Virgin Olive Oil,Sí,"Oli d'oliva verge extra ecològic i monovarietal Empeltre, Arbequina i Picual",Horta de Sant Joan,"Al propi molí, a través de la pàgina web, del telèfon o whatsapp (XXXXXXXXX ). A través de missatgeria local, podem fer arribar les comandes en 24-48h.",Es pot comprar via web al http://identitatoliveoil.com/categoria-producto/olis/ www.identitatoliveoil.com,Sí,Terra Alta
Kosturica,,"Verdura, fruita i altres productes",Canovelles,,,Sí,Vallès Oriental
L'Egarenca,,"Fruita i verdura fresca, làctics, carn, ous, dolços i galetes, conserves, confitures, cereals, espècies, infusions, cafès, vins, cerveses i licors, productes d'higiene i cosmètics a granel. (Ecobotiga cooperativa de proximitat).",Terrassa,"Comandes només disponibles per a persones sòcies (cal haver fet un registre presencial previ). Un cop s'és soci/sòcia es pot comprar presencialment, o a través de comanda online a egarenca.cat.",www.egarenca.cat,,Vallès Occidental
"L'Enllaç de l’Ebre, SCCL",Sí,"Hort i Camp: Verdures, Fruita fresca (Cítrics), Fruits secs. Rebost: Olives, Oli, mel, pasta, arròs i llegum. Granja: Aviram, ous, vedella i xai Celler: Cervesa artesana i vins.",l'Aldea,"Contactar per mail a xxxx@xxxxx.org, telèfon whats up a XXXXXXXXX , i consulteu la nostra web www.somebre.org. Facilitem catàleg, tarifa de preus i condicions d'entrega.",Recordeu que teniu temps de fer les comandes fins dimecres a les 14:40 per servir dijous i divendres. Les comandes entrades a partir de dimecres a les 14:30 es serviran la setmana vinent. Gràcies per la confiança Www.somebre.org,Sí,Baix Ebre
L'hort d'en Sergi,Sí,Hortalisses de temporada,Riells del Fai (Bigues i Riells),"Punts de recollida a Riells del Fai i Cerdanyola del Vallès. Posar-se en contacte per WhatsApp o trucada per saber els productes disponibles, preus, horaris...",sergims15 (compte instagram),,Vallès Oriental
L'hort de l'Eriçó,,Verdures ecològiques,Sant Boi de Llobregat,Entrar en contacta per mail o mòbil per fer comandes.,,,Baix Llobregat
L'Horta d'Òrrius,,Hortalisses i fruites ecològiques,Òrrius,"Botiga a la finca Can Femades. Dimarts, Dijous de 4 a 7 de la tarda Per whatsapp i correu electrònic Servei a domicili o recollida de comandes a la finca Mercats de Pagès. Dissabtes de 9 a 14:30. A Sants (Rbl. Brasil) Quinzenal. I al Guinardó (Plç. Maragall) Setmanal.",,Sí,Maresme
L'Horta que Brota,Sí,Verdura ecològica de temporada,Manresa,,,,Bages
l'infús selecció d'herbes i tes,,"Infusions d'herbes ecològiques de formulació pròpia, important varietat de tes i galetes artesanes no ECO, també d'elaboració pròpia, amb mantega del Cadí DOP.",La Seu d'Urgell,"Per mitjà de la nostra web i les galetes per correu electrònic a xxxx@xxxxx.cat Repartim els dimecres a la Seu d’Urgell. Per comandes fora de la Seu, ho fem per mitjà d’una empresa transportista qualsevol dia de la setmana.",Enviem les comandes per missatger. L'enviament és de franc per una comanda superior a 40€. Per quantitat inferior pactem cost. www.linfus.cat Instagram: @linfus_laseu,Sí,Al Urgell
"L'Obrador de Gramenet, SCCL",,Pans i pastes elaborats amb ingredients procedents de l'agricultura ecològica,Santa Coloma de Gramenet,Al nostre local. Horari de 9 a 14 hores i de 16:30 a 20 hores. Repartiment a Barcelona i Barcelonès Nord mitjançant ciclologística. Comanda per correu electrònic o whatsapp,,,Barcelonès
L'Olivera Cooperativa,Sí,Vins i olis ecològics,Vallbona de les Monges,"Botiga online: http://www.olivera.org/botiga/ca/ Botiga del celler de Vallbona: La Plana, s/n 25268 Vallbona de les Monges (Lleida) La Vinoteca de Can Calopa: Carretera BV-1468. Km 4,8. Barcelona. Tel: + XXXXXXXXX 88",www.olivera.org,Sí,Urgell
L'Ortiga Productes Ecològics,,Horta,Sant Cugat del Vallès,cistelles a domicili,,Sí,Vallès Occidental
La Barraqueta agroecologica,,Verdura i fruita de temporada ecologica,Vilallonga del Camp,"Dimecres: 18.15 vilallonga del camp, 20.00 la selva del camp 21.00 valls",facebook i instagram: Mikel/Rubiralta,Sí,Tarragonès
La Carabasseta,,Horta de temporada i oli d'oliva,Montblanc,Durant estiu venda directa a la finca. Resta any tucar.,,Sí,Conca de Barberà
La Caseta,Sí,"Llavors d’horta, conserves i planter",Font-Rubí,Venda a domicili o a la casa.,"Tenim planter que haviem de vendre a la Fira de Plantes Oblidades d'Eixarcolant, que s'ha cancel·lat. Aquí el llistat: http://www.arrandeterra.org/wp-content/uploads/2020/03/photo_2020-03-15_12-37-10.jpg",,Alt Penedès
La cistella de la Imma,,Frescos de temporada i ecologics,Algerri,"Comandes Per watssap desde dijous a diumenge i dimecres servim, ara a domicili fins ara un punt de recollida a cada poble. Prèviament envien llistat de productes, preus i de quin pagès és.","Tots els pagesos tenen ccpae, jo distribuïdor a grups de consum i famílies",,Noguera
La Folcrà,,Llet fresca certificada (vaca),Sant Joan Abadesses,Envasem llet fresca en envasos de 5 litres Comandes per watsap XXXXXXXXX Podem servir porta porta al ripollès,,,Ripollès
La Lleteria,Sí,"Lactis: iogurt, batut, formatge fresc, mató, llet.",Juneda,,Disposem de lactis preparats per escoles i restaurants. Estem reduint producció. Continuem treballant i servint a les botigues Estaria bé poder buidar les càmares frigorífiques. A preu de cost. lleteria.obagues.cat,,Garrigues
La Magalla,,Verdura ecològica,Tarragona,,,,Tarragonès
La Magalla cooperativa,,Horta i fruita ecològica,Vallès Oriental,,,Sí,Vallès Oriental
La Masrojana,,"Oli, Olives",Móra d'Ebre,"comandes via watsapp, telefonicament o per correu electrònic. es poden recollir a l'agrobotiga que tenim a la nau, horari de 8 a 14h i de 18h a 20h.",www.lamasrojana.com,Sí,Ribera d’Ebre
La Montoliva,,"Cigrons, ametlles, melmelada, albercocs, mostassa, oli",Vilallonga del Camp,A través de la web o venint a la finca trucant abans al XXXXXXXXX ,www.lamontoliva.com,,Tarragonès
La Petita Granja de Claret,,"Llet, formatges i altres productors làctics",Bages,Productes disponibles a partir de la tardor.,,En conversió,Bages
La Rural de Collserola,,"CCPAE verdures, fruita, mel, pa, embutit vega, cosmetica eco.",Valldoreix,Venda a domicili o a recollir a finca. Horari comercial de 9h a 19h de dilluns a divendres,,Sí,Vallès Occidental
La Saó,,Horta,Parets del Vallés,"Venda directa, servei domicili i mercat",,,Vallès Oriental
La Segalla,,Formatges i iogurts ecològics de cabra,La Selva del Camp,"Normalment venem a través de petita botiga, però si voleu algo, contacteu",,Sí,Baix Camp
La Selvatana,Sí,"Lactics ecologics de vaca. Llet, iogurt, mató i formatge",Campllong,,,Sí,Gironès
La Silvestrina,,"Herbolària, infusions, preparats naturals, planta fresca",El Milà (alt camp),enviament i assessorament online,,,Alt Camp
La Sobirana Cooperativa,,Ratafia La Penjada (primera ratafia cooperativa),Santa Coloma de Farners,,www.lasobirana.cat,,Selva
Le Pain Tranquille,,"Pa, brioxeria, conserves i begudes",Premià de Mar,,,,Maresme
Les Refardes,,Llavor d'horta,Mura,Enviem per correus i recollir al local,,Sí,Bages
Llaberia Fruits,,"Olis, vins, calçots cuits i crus carxofas i més tot collita propia","Tarragona, cambrils, montbrio del camp",,,,Solsonès
Llavora,,Porc ecològic,Ventalló. Alt Empordà,,www.llavora.cat,Sí,Alt Empordà
Lo Traginer,,Fruita/verdura CCPAE petites prod. Vegueria P. /Països Catalans,Vilafranca,,Instagram: LoTRAGINER,Sí,Penedès
Làctics l'Esquella,Sí,"Llet fresca pasteuritzada, Iogurts, Mató i Formatge",Bellver de Cerdanya,Venda directa a la botiga pròpia ubicada a Bellver de Cerdanya (C/ Escoles n. 11. Horari: de dilluns a divendres de 17.00 a 19.00 i dissabte de 10.00 a 13.30) i en establiments de la comarca.,"S'han reduït molt les comandes tant de consumidor final com dels negocis actualment tancats (hosteleria, escoles, etc.) @lacticslesquella Www.lesquella.cat",,Cerdanya
Làctics Pauet,,"Iogurts, naturals i amb melmelada de nabius, avellana, maduixa i llimona, fets amb llet de cabra. Recuits, mató i formage fresc amb llet de cabra. Xais i cabrits",Jafre,,www.lacticspauet.com Tot el.laborat amb llet del nostre ramat,,Baix Empordà
Maduixes de Munt,Sí,Maduixes,Arenys de Munt,Es poden recollir a casa o les podem portar a les cases. Les comandes es poden fer per WhatsApp o per telèfon XXXXXXXXX .,Les maduixes son de conreu familiar i sostenible. Boníssimes! http://maduixesdemunt.com/,,Maresme
Mas Corcó Pagesos Forners,,Pa ecològic fet amb el nostre blat i brioixeria,Manlleu,"A l'obrador tenim una botiga i també repartim a diferents botigues de Manlleu, Torelló, Vic, Tona i Malla",,Sí,Osona
Mas Jalech,,"Hortalisses, fruita i d'altres",Els Hostalets de Balenyà,Venda directa al mas i mercats a Granollers i La Garriga. Cistelles a domicili,,Sí,Osona
Mas Pinós,Sí,Carn de vedella ecològica i porc.,Vallfogona de Ripollès,"Repartim a domicili els divendres ( osona, barcelona i maresme)",Per comandes Whatsapp XXXXXXXXX o web. Www.maspinos.cat,Sí,Ripollès
Masia Can Joans. Producció de llet ecològica i iogurts,Sí,"Llet crua de vaca i iogurts. Preu: Iogurts natural i descremat: pack de 2 unitats= 1€ Llimona o maduxa: pack de 2 unitats= 1,20€ Nabius: pack de 2 unitats= 1,30€ (Preus sense IVA)",Lliçà d'Amunt (Barcelona),Es reben comandes per Whatsapp i a través de http://www.lamagranavallesana.cat/,,Sí,Vallès Oriental
Masia Can Sunyer,,"Verdures i fruites agroecològiques Fruita seca Productes envasats de comerç just : sucre, té, xocolata",La Garriga,"Cistelles agroecològiques a mida Comandes per what's app al +XXXXXXXXX 01 Entregues porta a porta al Vallés, Maresme i Osona Venta a l'agrobotiga ecológica divendres i dissabte matí.",,En conversió,Vallès Oriental
Masia Tomaso,,Carn eco de corder i vedella,Àger,Venda directa a domicili,,Sí,Noguera
Mel Cal Fuster,,"Mel, mel i pol.len , tintura de propolis (reforça el sistema immunològic)",Navàs,,Enviar whatsapp per parlar,,Bages
Menjamiques,Sí,"Crema de garrofa (clàssica i vegana), Dolç d'ametlla i avellana, Allioli de garrofa, Vinagre de garrofa, Concentrat de garrofa",Bràfim,"A www.menjamiques.com/on-som trobareu tots els nostres punts de venda de Catalunya. Així mateix, també podem servir a domicili si és al Camp de Tarragona (en aquest cas, poseu-vos en contacte amb naltros).",Ens trobem amb productes elaborats que els queda poc temps de consum preferent i que no podrem col·locar un cop s'aixequi el confinament per manca de temps.,,Alt Camp
Menjar d'hort SCCL,Sí,"Els nostres productes són de temporada, frescos, ecològics/biològics, de molt bona qualitat, lliures de tòxics i de quilòmetre 0.",Gavà,"Podeu fer la vostre comanda a partir de: - Facebook --> Menjar d'Hort - Instagram --> MenjardHort - Whatsapp --> XXXXXXXXX Les comandes les repartim els dijous, les portem a casa.","Cada setmana pujem a instagram i facebook els nous productes. Us portem la comanda a la porta de casa amb totes les proteccions higièniques necessaries --> guants, mascareta...",,Baix Llobregat
Miquel Casas,Sí,"Tots els productes són ecològics (Certificats pel CCPAE): -Carn de xai i cabrit ( tallat al gust del client, mig o sencer) -Farina de blat tou varietat tradicional Xeixa, sacs de 5kg o 25kgs",Ripoll,"Quedant per telèfon i també per l'entrega. Al Ripollès, Osona i Garrotxa",,Sí,Ripollès
Moli Lo Nostre Arròs,Sí,Arròs varietat marisma ecològic,Amposta,"Servei a domicili a Amposta, mínim 10 kg. La resta x missatger.",Per motiu de la situació ens han caigut del vendes. Els nostres clients són petites tendes i restauració. www.lonostrearros.cat,Sí,Montsià
MuDA. Vedella d'Agullana,,Vedella Eco,Agullana,,www.muda.cat,Sí,Alt Empordà
Murgó Formatges,,Formatges madurats de llet de cabra i llet de vaca,El Maresme,Enviaments o venda directa ' salut i formatges,,,Maresme
Més Fresques Que Un Enciam,Sí,"Producció i distribució de fruita i verdura (agro)ecològica, de temporada i de proximitat",Barcelona,,https://mesfresquesqueunenciam.coop/,,Barcelonès
Niu Verd pollastres ecològics,Sí,"Pollastres ecològics tallats a quarts, vuitens o setzens",Sant Feliu Sasserra,"Fem comanda cada 15 dies. Àrea de distribució Bages, Osona i Lluçanès. Envieu un correu i us contactarem per poder fer la comanda, gràcies",www.niuverd.cat,Sí,Lluçanès
Oli Cimal i Thymus orgànic soaps,Sí,Oli d'oliva extra verge ecològic Sabons per la cura personal i la bugada elaborats amb oli d'oliva de collita pròpia,Arbeca,,Venda a granel de sabons per a la bugada en líquid i en pols. Thymusorganicsoap.wordpress.com,Sí,Pla d’Urgell
Oli Oliva Negra,,Oli d'oliva verge extra naturals i ametlles naturals procedents d'agricultura regenerativa formats oli: -ampolla 250ml. -garrafa 2l. -garrafa 5l. -bag in box 5l. formats ametlles: -bossa 250g.,El Molar,"Venta directa, fer la comanda mitjançant mail o telf.","Fem agricultura regenerativa i no utilitzem cap tipus de producte químic als nostres cultius, el nostre certificat és la confiança i qualsevol pot venir a visitar nos. Salut i bons aliments!!! Estem oberts a l'intercanvi!",,Priorat
Olinunllum,,Oli d'oliva extra verge ecològic Ametlla eco,Les Borges Blanques,"Qualsevol horari ens va bé,trucant al mòbil o enviant un mail.",,Sí,Garrigues
Olis Can Català,,Oli d'oliva verge extra,Roquetes,"Online mitjançant la web, mitjançant WhatsApps, per telèfon XXXXXXXXX i XXXXXXXXX . Us ho enviem per missatger a l'adreça on digueu. Tenim només 2 tipus d'envasat llaunes i ampolles 250ml. Qualsevol dubte o consulta no dubteu en trucar. XXXXXXXXX (Domingo) XXXXXXXXX (Manuela)",Les nostres olives estan certificades per Consell Català de Producció Integrada www oliscancatala.com,,Baix Ebre
Pagerols,Sí,"Agricultura b.i.o...agradable Produim verdures, hortalisses i fruita de temporada, respectant el medi ambient.",Castellbisbal,Punt de recollida a la Masia i al Mercat de pagès de Sant Cugat del Vallès.,"Estem configurant la botiga online, aviat estarà disponible. Per motius de prevenció, i solidaritat amb els que convivim, no hi haurà repartiment. Tindrem un punt de recollida a la finca. La gent que estigui interessada es pot posar en contacte amb nosaltres per aquest correo: xxxx@xxxxx.com Gràcies, perdoneu les molèsties. www.katuma.org",Sí,Vallès Occidental
Pastant diversitat,,"Pa,pasta, i farines blats antics",Sant Sadurni de l'Heura,A la finca. Mercats mon emporda. Per email.,,,Baix Empordà
Pla Oví,Sí,Xai o Lletò de ramat,Algerri,Podeu passar a recollir la comanda a la nostra carnisseia de 10h a 14h de dimarts a dissabte o et portem.el xai a casa. Fen enviaments en fred a tot el territori,,,Noguera
Planeses Agricultura Regenerativa,,"Pollastre, hamburgueses i adobats, llet, iogurt, formatge d'untar, brou, conserves de pollastre",Sant Ferriol,"Web botiga online, botiga a Banyoles, grups consum",No estem en urgència de moment,Sí,Garrotxa
Planterra,Sí,"Planter d'horta, plantes aromàtiques i medicinals i flors ECO",Cabanelles,Les comandes es poden fer via watsup o via mail. Estem divendres al mercat de Serinyà Dissabte a Banyoles Fem repartiment segons volum de comandes. Punt de recollida dissabtes als horts de Tortellà( si calgues enviem ubicacio),,,Alt Empordà
Pollastre del Montseny,Sí,Pollastre criat a l'aire lliure,Seva,"Les comandes es fan per telefon, watshapp o per la web. Repartim a domicili cada setmana a tot el territori català",,,Osona
Quèviure,,Distribució de productes ecológics i de proximitat.,Barcelona,Comanda mínima de 250'.,"Cooperativa sense ànim de lucre, que fem distribució de productes ecològics i de proximitat de tot tipus. Arròs, pasta, llegums, galetes, cafè, cacau, proteïna vegetal,.... www.queviure.cat",Sí,Barcelonès
Ramaderia ecológica ca l’andreu,,Carn de vedella ecológica al detall degudament envasada,Alàs i Cerc,X la web X telefon Dijous repartim x bcn i voltants,ramaderiacalandreu.com,Sí,Alt Urgell
Rave Negre,,Verdura ecològica,Vallès Oriental,,,Sí,Baix Llobregat
S'ha acabat el Bròquil,,Horta,Maresme Barcelonès,A domicili i a pagesos/engròs,,Sí,Maresme-Barcelonès
Safrà del Montsec,Sí,Safrà Ecològic,Llimiana,"Venda a la mateixa finca, a domicili i a botigues especialitzades en producte gourmet i ECO (demana info). Comandes per Telèfon, WhatsApp, Web (formulari de contacte) o correu electrònic. Es realitzen enviaments a tota Catalunya.","Cultivem safrà ecològic, d'excel·lent qualitat, certificat pel CCPAE. Premi Great Taste Awards 2019. Com a membres de Slow Food col·laborem amb la recuperació de l'agricultura tradicional, que al seu torn fomenta la filosofia de produir aliments bons, nets i justos. http://www.safradelmontsec.com/",Sí,Pallars Jussà
Segimona,,"Horta: espinac, bleda, enciam, porro, all tendre, col, ceba.",Montseny,,,,Vallès Oriental
Set d'Oli,Sí,Oli d'oliva verge extra,Figuerola del Camp,,"Tenim Oli d'oliva Verge extra en formats de 2 i 5 l, Trucar per Comandes Www.setandros.com",,Alt Camp
